reg_nom; reg_cheflieu;reg_dep;reg_superficie;reg_population
Auvergne-Rhône-Alpes;Lyon;Ain, Allier, Ardèche, Cantal, Drôme, Isère, Loire, Haute-Loire, Puy-de-Dôme, Rhône, Savoie, Haute-Savoie;69 711;8 114 361
Bourgogne-Franche-Comté;Dijon[8];Côte-d'Or, Doubs, Jura, Nièvre, Haute-Saône, Saône-et-Loire, Yonne Territoire de Belfort;47 784;2 800 194
Bretagne;Rennes;Côtes-d'Armor, Finistère, Ille-et-Vilaine, Morbihan;27 208;3 394 567
Centre-Val de Loire;Orléans;Cher, Eure-et-Loir, Indre, Indre-et-Loire, Loir-et-Cher, Loiret;39 151;2 573 303
Corse;Ajaccio;Corse-du-Sud, Haute-Corse;8 680;347 597
Grand Est;Strasbourg;Ardennes, Aube, Marne, Haute-Marne, Meurthe-et-Moselle, Meuse, Moselle, Bas-Rhin, Haut-Rhin, Vosges;57 441;5 561 287
Hauts-de-France;Lille;Aisne, Nord, Oise, Pas-de-Calais, Somme;31 806;5 995 292;
Île-de-France;Paris;Seine-et-Marne, Yvelines, Essonne, Hauts-de-Seine, Seine-Saint-Denis, Val-de-Marne, Val-d'Oise;12 012;12 317 279
Normandie;Rouen;Calvados, Eure, Manche, Orne, Seine-Maritime;29 907;3 327 966
Nouvelle-Aquitaine;Bordeaux;Charente, Charente-Maritime, Corrèze, Creuse, Dordogne, Gironde, Landes, Lot-et-Garonne, Pyrénées-Atlantiques, Deux-Sèvres, Vienne, Haute-Vienne;84 036;6 069 352
Occitanie;Toulouse;Ariège, Aude, Aveyron, Gard, Haute-Garonne, Gers, Hérault, Lot, Lozère, Hautes-Pyrénées, Pyrénées-Orientales, Tarn, Tarn-et-Garonne;72 724;6 022 176
Pays de la Loire;Nantes;Loire-Atlantique, Maine-et-Loire, Mayenne, Sarthe, Vendée;32 082;3 853 999
Provence-Alpes-Côte d'Azur;Marseille;Alpes-de-Haute-Provence, Hautes-Alpes, Alpes-Maritimes, Bouches-du-Rhône, Var, Vaucluse;31 400;5 127 840
Guadeloupe;Basse-Terre;;1 628;384 315
Martinique;Fort-de-France;;1 128;360 749
Guyane;Cayenne;;83 534;286 618
La Réunion;Saint-Denis;;2 504;871 157
Mayotte;Mamoudzou;;374;256 518
